route,comparison_group,baseline_avg_fare,baseline_avg_distance,baseline_distance_2,baseline_num_carriers,baseline_hhi,baseline_hub_route,baseline_n_legacy_carriers,baseline_legacy_carrier_share,baseline_n_lcc_carriers,baseline_avg_delay,baseline_delay_15_rate,baseline_cancellation_rate,baseline_avg_scheduled_flights,baseline_avg_seat_capacity,baseline_load_factor,baseline_route_size
10135-10397,Control (Never-Treated Routes),251.36763443988795,692,692,2,8902.863578677205,1,0,0,0,10.62254020396653,15.04739174153433,1.3551880233636748,245,13313,85.49538045519417,11382
10135-11057,Control (Never-Treated Routes),238.82372881355926,481,481,1,10000,1,0,0,0,27.39845505266463,38.0753675495487,4.886687579707951,88,6952,82.52301495972382,5737
10135-11433,Control (Never-Treated Routes),333.9244976594365,425,425,2,5622.390668546253,1,0,0,0,9.015208686779678,14.56648476424399,0.9608024210214721,236,11800,74.82203389830508,8829
10135-13930,Control (Never-Treated Routes),323.01624999999996,654,654,1,10000,1,0,0,0,12.033633028192996,30.457200826458624,0.5388614927514299,31,1550,80,1240
10136-11298,Control (Never-Treated Routes),132.0444864100597,158,158,2,8104.055812792264,1,0,0,0,16.07074176851872,15.634520629075666,8.329229764706103,656,30380,72.94601711652403,22161
10140-10397,Control (Never-Treated Routes),260.6338974358975,1269,1269,1,10000,1,1,100,0,10.086982904123516,15.271096608096341,0.5388614927514299,263,39368,85.09703312334891,33501
10140-10821,Control (Never-Treated Routes),250.2727891156463,1670,1670,1,10000,1,0,0,1,16.90033132041311,29.36611923253073,0.5388614927514299,136,20530,84.9196298100341,17434
10140-11259,Control (Never-Treated Routes),185.73591115140525,580,580,1,10000,1,0,0,1,14.823585223087349,26.265160852889448,1.1219518717601764,682,97050,78.07212776919114,75769
10140-11298,Control (Never-Treated Routes),179.36285388127845,569,569,1,10000,1,1,100,0,11.080324831141656,17.048231563944523,5.840776073016524,648,89330,79.12683309078697,70684
10140-12191,Control (Never-Treated Routes),227.36935999999997,759,759,1,10000,1,0,0,1,13.794675211815825,26.424942761942493,0.5388614927514299,260,35704,83.66289491373516,29871
10140-12264,Control (Never-Treated Routes),295.7398000000001,1628,1628,1,10000,1,1,100,0,7.806213673354286,9.361450698450431,1.649972603862541,89,12723,70.86378998663837,9016
10140-12266,Control (Never-Treated Routes),270.3793262671003,744,744,2,6692.084541279994,1,0,0,0,11.385287132195186,18.2625212041721,1.9923498648444533,342,17276,88.48691826811762,15287
10140-12478,Control (Never-Treated Routes),174.26666666666665,1826,1826,1,10000,1,0,0,1,11.671431064658634,18.816247109768582,0.5388614927514299,92,13800,61.86956521739131,8538
10140-12889,Control (Never-Treated Routes),138.5215529753265,486,486,1,10000,1,0,0,1,20.073444277717243,33.95603095479539,1.0150519689419062,418,59249,75.89157622913467,44965
10140-12892,Control (Never-Treated Routes),179.53517870986175,677,677,3,4942.000806530965,1,0,0,1,14.052446475182636,25.153486680870596,2.4311467911502653,675,62084,78.07003414728433,48469
10140-13198,Control (Never-Treated Routes),194.1786666666667,718,718,1,10000,1,0,0,1,8.05186584726733,20.990160153246844,0.5388614927514299,93,13281,74.18116105714931,9852
10140-13232,Control (Never-Treated Routes),252.01249999999996,1121,1121,1,10000,1,0,0,1,17.6694004865411,34.941426278426015,0.5388614927514299,182,25876,84.0122120884217,21739
10140-13487,Control (Never-Treated Routes),240.64543624161064,981,981,1,10000,1,1,100,0,8.817752134892746,7.4078487448484776,0.5388614927514299,117,17487,77.21164293475154,13502
10140-13796,Control (Never-Treated Routes),196.55469036697247,889,889,1,10000,1,0,0,1,16.79226196676383,27.45356530219294,1.335674241755414,249,35337,63.59623057984549,22473
10140-13930,Control (Never-Treated Routes),246.28509174043148,1118,1118,2,5112.686843790106,1,0,0,0,21.030741975241074,30.02164087515004,1.4822577191665243,105,6803,82.64001175951786,5622
10140-14057,Control (Never-Treated Routes),201.5850892857144,1111,1111,1,10000,1,0,0,1,12.997518021180372,28.598855805420754,0.5388614927514299,92,13156,80.8756460930374,10640
10140-14107,Control (Never-Treated Routes),148.45146258306346,328,328,3,5560.787429021198,1,0,0,1,12.779859347425555,24.346325748621613,1.560217110207326,1072,119128,77.69542005238064,92557
10140-14679,Control (Never-Treated Routes),183.81005665722375,628,628,1,10000,1,0,0,1,18.514943832084445,38.46197979897953,0.5388614927514299,191,27135,77.99889441680486,21165
10140-14747,Control (Never-Treated Routes),197.72042600896864,1180,1180,1,10000,1,0,0,1,9.569805906363996,17.929797130874537,0.5388614927514299,103,14723,76.01711607688651,11192
