route,route_ident,total_departures_performed,departures_per_week
10140-13204,ABQ-MCO,34,2.6153846153846154
10257-13204,ALB-MCO,42,3.230769230769231
10397-11292,ATL-DEN,88,6.769230769230769
10397-12889,ATL-LAS,89,6.846153846153846
10397-12892,ATL-LAX,39,3
10397-12953,ATL-LGA,88,6.769230769230769
10397-13204,ATL-MCO,96,7.384615384615385
10397-13303,ATL-MIA,90,6.923076923076923
10397-14771,ATL-SFO,51,3.923076923076923
10397-14869,ATL-SLC,39,3
10397-15356,ATL-TTN,51,3.923076923076923
10423-11292,AUS-DEN,87,6.6923076923076925
10423-12264,AUS-IAD,65,5
10423-12889,AUS-LAS,85,6.538461538461538
10423-13204,AUS-MCO,33,2.5384615384615383
10423-13495,AUS-MSY,16,1.2307692307692308
10423-14100,AUS-PHL,37,2.8461538461538463
10423-14679,AUS-SAN,27,2.076923076923077
10423-14869,AUS-SLC,39,3
10423-14908,AUS-SNA,51,3.923076923076923
10599-11292,BHM-DEN,25,1.9230769230769231
10599-13204,BHM-MCO,20,1.5384615384615385
10685-13204,BMI-MCO,41,3.1538461538461537
10693-11292,BNA-DEN,88,6.769230769230769
10693-12889,BNA-LAS,46,3.5384615384615383
10693-13204,BNA-MCO,71,5.461538461538462
10693-14100,BNA-PHL,25,1.9230769230769231
10693-14635,BNA-RSW,46,3.5384615384615383
10792-11292,BUF-DEN,25,1.9230769230769231
10792-13204,BUF-MCO,74,5.6923076923076925
10792-14635,BUF-RSW,37,2.8461538461538463
10792-15304,BUF-TPA,50,3.8461538461538463
10849-11292,BZN-DEN,51,3.923076923076923
10994-11292,CHS-DEN,25,1.9230769230769231
10994-14100,CHS-PHL,15,1.1538461538461537
11003-11292,CID-DEN,33,2.5384615384615383
11057-11292,CLT-DEN,51,3.923076923076923
11057-13204,CLT-MCO,90,6.923076923076923
11057-14100,CLT-PHL,49,3.769230769230769
11057-15304,CLT-TPA,39,3
11057-15356,CLT-TTN,39,3
11066-11292,CMH-DEN,25,1.9230769230769231
11066-13204,CMH-MCO,29,2.230769230769231
11066-14027,CMH-PBI,25,1.9230769230769231
11109-12889,COS-LAS,75,5.769230769230769
11109-13204,COS-MCO,50,3.8461538461538463
11109-14107,COS-PHX,75,5.769230769230769
11193-11292,CVG-DEN,50,3.8461538461538463
11193-12889,CVG-LAS,86,6.615384615384615
11193-13204,CVG-MCO,90,6.923076923076923
11193-14107,CVG-PHX,51,3.923076923076923
11193-14635,CVG-RSW,89,6.846153846153846
11193-14679,CVG-SAN,39,3
11193-15304,CVG-TPA,38,2.923076923076923
11278-11292,DCA-DEN,256,19.692307692307693
11292-10397,DEN-ATL,89,6.846153846153846
11292-10423,DEN-AUS,87,6.6923076923076925
11292-10599,DEN-BHM,25,1.9230769230769231
11292-10693,DEN-BNA,89,6.846153846153846
11292-10792,DEN-BUF,25,1.9230769230769231
11292-10849,DEN-BZN,51,3.923076923076923
11292-10994,DEN-CHS,25,1.9230769230769231
11292-11003,DEN-CID,33,2.5384615384615383
11292-11057,DEN-CLT,53,4.076923076923077
11292-11066,DEN-CMH,25,1.9230769230769231
11292-11193,DEN-CVG,51,3.923076923076923
11292-11278,DEN-DCA,257,19.76923076923077
11292-11298,DEN-DFW,89,6.846153846153846
11292-11423,DEN-DSM,49,3.769230769230769
11292-11540,DEN-ELP,25,1.9230769230769231
11292-11637,DEN-FAR,33,2.5384615384615383
11292-11638,DEN-FAT,35,2.6923076923076925
11292-11697,DEN-FLL,18,1.3846153846153846
11292-11775,DEN-FSD,39,3
11292-11986,DEN-GRR,35,2.6923076923076925
11292-11996,DEN-GSP,24,1.8461538461538463
11292-12217,DEN-HSV,29,2.230769230769231
11292-12266,DEN-IAH,89,6.846153846153846
11292-12278,DEN-ICT,32,2.4615384615384617
11292-12339,DEN-IND,39,3
11292-12448,DEN-JAN,25,1.9230769230769231
11292-12451,DEN-JAX,26,2
11292-12889,DEN-LAS,287,22.076923076923077
11292-12892,DEN-LAX,132,10.153846153846153
11292-12951,DEN-LFT,25,1.9230769230769231
11292-12992,DEN-LIT,19,1.4615384615384615
11292-13198,DEN-MCI,45,3.4615384615384617
11292-13204,DEN-MCO,222,17.076923076923077
11292-13244,DEN-MEM,50,3.8461538461538463
11292-13303,DEN-MIA,89,6.846153846153846
11292-13342,DEN-MKE,42,3.230769230769231
11292-13485,DEN-MSN,50,3.8461538461538463
11292-13487,DEN-MSP,144,11.076923076923077
11292-13495,DEN-MSY,81,6.230769230769231
11292-13851,DEN-OKC,36,2.769230769230769
11292-13871,DEN-OMA,32,2.4615384615384617
11292-13891,DEN-ONT,41,3.1538461538461537
11292-13930,DEN-ORD,124,9.538461538461538
11292-13931,DEN-ORF,25,1.9230769230769231
11292-14057,DEN-PDX,102,7.846153846153846
11292-14100,DEN-PHL,89,6.846153846153846
11292-14107,DEN-PHX,215,16.53846153846154
11292-14122,DEN-PIT,26,2
11292-14193,DEN-PNS,36,2.769230769230769
11292-14262,DEN-PSP,49,3.769230769230769
11292-14492,DEN-RDU,89,6.846153846153846
11292-14570,DEN-RNO,25,1.9230769230769231
11292-14635,DEN-RSW,89,6.846153846153846
11292-14679,DEN-SAN,137,10.538461538461538
11292-14683,DEN-SAT,90,6.923076923076923
11292-14685,DEN-SAV,25,1.9230769230769231
11292-14689,DEN-SBA,38,2.923076923076923
11292-14730,DEN-SDF,25,1.9230769230769231
11292-14747,DEN-SEA,95,7.3076923076923075
11292-14771,DEN-SFO,125,9.615384615384615
11292-14831,DEN-SJC,27,2.076923076923077
11292-14869,DEN-SLC,186,14.307692307692308
11292-14893,DEN-SMF,37,2.8461538461538463
11292-14908,DEN-SNA,90,6.923076923076923
11292-15016,DEN-STL,94,7.230769230769231
11292-15304,DEN-TPA,141,10.846153846153847
11292-15370,DEN-TUL,39,3
11292-15376,DEN-TUS,50,3.8461538461538463
11292-15412,DEN-TYS,25,1.9230769230769231
11298-11292,DFW-DEN,89,6.846153846153846
11423-11292,DSM-DEN,48,3.6923076923076925
11423-13204,DSM-MCO,34,2.6153846153846154
11423-14107,DSM-PHX,30,2.3076923076923075
11433-13204,DTW-MCO,96,7.384615384615385
11433-14635,DTW-RSW,38,2.923076923076923
11540-11292,ELP-DEN,25,1.9230769230769231
11637-11292,FAR-DEN,33,2.5384615384615383
11638-11292,FAT-DEN,35,2.6923076923076925
11697-11292,FLL-DEN,17,1.3076923076923077
11697-12391,FLL-ISP,51,3.923076923076923
11697-15356,FLL-TTN,51,3.923076923076923
11775-11292,FSD-DEN,39,3
11884-12889,GEG-LAS,25,1.9230769230769231
11986-11292,GRR-DEN,34,2.6153846153846154
11986-13204,GRR-MCO,76,5.846153846153846
