spec,outcome,method,att,se,z,p,ll,ul
baseline,arrival_15,dripw,-.000738574228149,.0032944223,-.2241893,,-.0073496238,.0058724754
extended,arrival_15,dripw,-.0002126568066682,.0034188447,-.062201366,,-.0069684656,.006543152
nocov,arrival_15,reg,-.0051040470349619,.003041693,-1.6780283,,-.011378453,.0011703592
baseline,arrival_delay,dripw,-.1683909279186771,.23943056,-.70329756,,-.62730294,.29052109
extended,arrival_delay,dripw,-.1713045525180552,.24073081,-.71160215,,-.63309151,.2904824
nocov,arrival_delay,reg,-.5108245689296206,.23408322,-2.1822348,,-.94708687,-.074562281
baseline,average_fare,dripw,-15.1508361758447,1.8034725,-8.4009237,,-18.657007,-11.644666
extended,average_fare,dripw,-14.42629055395869,1.7933127,-8.0444927,,-17.955584,-10.896998
nocov,average_fare,reg,-17.96693230637526,1.6533555,-10.86695,,-21.380018,-14.553846
baseline,cancellation,dripw,.0006497536025778,.00074162282,.87612402,,-.00089690706,.0021964142
extended,cancellation,dripw,.0012318054094533,.00094713178,1.3005639,,-.00064508046,.0031086912
nocov,cancellation,reg,.0007799398016682,.00075454765,1.0336522,,-.00066706148,.0022269411
baseline,delay_15,dripw,-.0046328258448568,.0033711989,-1.3742369,,-.011262103,.0019964513
extended,delay_15,dripw,-.0051907743187183,.0032906376,-1.5774372,,-.011660983,.0012794345
nocov,delay_15,reg,-.0087710997261392,.0032331867,-2.7128341,,-.014838193,-.0027040066
baseline,departure_delay,dripw,-.2997126041847292,.23229973,-1.2901978,,-.75112039,.15169518
extended,departure_delay,dripw,-.3569963046231716,.23377655,-1.5270834,,-.81664616,.10265357
nocov,departure_delay,reg,-.6362679654537599,.22081953,-2.8813934,,-1.0401754,-.23236054
baseline,fare_ratio_90_10,dripw,.2863099865463261,.035729926,8.0131702,,.2206507,.35196927
extended,fare_ratio_90_10,dripw,.3300860144478394,.040048338,8.2421904,,.24794632,.41222569
nocov,fare_ratio_90_10,reg,.327039944832228,.033496927,9.7632818,,.26788837,.38619152
baseline,ln_average_fare,dripw,-.0737813763374146,.0077958992,-9.4641266,,-.089321986,-.058240771
extended,ln_average_fare,dripw,-.0717365708465342,.00761917,-9.4152737,,-.087716661,-.05575648
nocov,ln_average_fare,reg,-.0902265482641116,.007134465,-12.646575,,-.10467476,-.075778335
baseline,load_factor,dripw,.0096082850684823,.0028101637,3.4191194,,.0045922217,.014624348
extended,load_factor,dripw,.0115435123351351,.0028594073,4.0370297,,.0061347946,.01695223
nocov,load_factor,reg,.011550408774074,.0027852673,4.146966,,.0063413349,.016759483
baseline,total_departures_performed,dripw,31.79933749130476,4.7625461,6.6769614,,22.60145,40.997223
extended,total_departures_performed,dripw,36.0204475904392,4.982234,7.2297783,,26.77203,45.268867
nocov,total_departures_performed,reg,33.32801460218376,4.6713681,7.1345296,,24.779573,41.876453
baseline,total_seats,dripw,5611.343288348868,753.53125,7.4467292,,4188.2251,7034.4614
extended,total_seats,dripw,6262.934213006876,828.82697,7.5563831,,4702.6475,7823.2212
nocov,total_seats,reg,5850.982823935588,766.86823,7.6297107,,4407.4595,7294.5063
