panel,variable,full_sample_mean_sd,treated_pre2014_mean_sd,never_treated_pre2014_mean_sd,diff_treated_minus_never,p_value,test_used,full_mean,full_sd,treated_pre2014_mean,treated_pre2014_sd,never_treated_pre2014_mean,never_treated_pre2014_sd,full_n,treated_pre2014_n,never_treated_pre2014_n,full_n_routes,treated_pre2014_n_routes,never_treated_pre2014_n_routes
Panel A: Outcome Variables,Average Fare ($),215.70 (80.42),221.07 (53.36),222.14 (69.28),-1.0711689271751652,0.6968464266007701,OLS difference test (route-clustered SE),215.70178789987898,80.41560386146077,221.06967018060624,53.36227580071587,222.1408391077814,69.27798030806206,130761,5473,34398,6226,495,3495
Panel A: Outcome Variables,Mean Carrier Delay (Minutes),19.79 (12.49),17.83 (6.26),18.14 (10.18),-0.3086487455444846,0.28541498477168137,OLS difference test (route-clustered SE),19.78982409276501,12.487660816107292,17.829301448078297,6.25544787422129,18.137950193622782,10.184438246466067,130761,5473,34398,6226,495,3495
Panel A: Outcome Variables,Total Departures,344.67 (296.40),490.18 (463.11),356.41 (322.31),133.76403712915805,2.701782055815945e-9,OLS difference test (route-clustered SE),344.66972568274105,296.40167705985533,490.1752238260572,463.11256244173586,356.41118669689916,322.31229171084334,130761,5473,34398,6226,495,3495
Panel B: Route Covariates,Route Distance,825.92 (541.46),1029.97 (458.82),760.51 (564.19),269.46447378106075,4.443185371129306e-30,OLS difference test (route-clustered SE),825.9177812956217,541.4584332919814,1029.969852000729,458.82234629057234,760.5053782196682,564.1874923886455,130761,5473,34398,6226,495,3495
Panel B: Route Covariates,Route Herfindahl Hirschmann Index (HHI),8462.92 (1559.51),7729.01 (2280.60),8724.57 (1752.07),-995.5576824611526,5.971163510093691e-19,OLS difference test (route-clustered SE),8462.923697638758,1559.5098149921491,7729.009615264644,2280.6016082218393,8724.567297725796,1752.0667409577243,130761,5473,34398,6226,495,3495
Panel B: Route Covariates,Routes with Low Cost Carriers,0.32 (0.42),0.49 (0.49),0.31 (0.45),0.18662280674496484,6.7047257258214736e-15,OLS difference test (route-clustered SE),0.31691406459112426,0.4191070844368735,0.49387904257262927,0.48893790904611306,0.3072562358276644,0.44648238187664013,130761,5473,34398,6226,495,3495
Panel B: Route Covariates,Number of Carriers on Route,1.55 (0.61),1.86 (1.01),1.43 (0.64),0.43261084201023126,2.4851140178656527e-18,OLS difference test (route-clustered SE),1.5498887282905454,0.6117042872356104,1.8602229124794445,1.0126065127624975,1.4276120704692132,0.6373714789407332,130761,5473,34398,6226,495,3495
Panel B: Route Covariates,Number of Passengers on Routes,34282.68 (36483.38),54816.78 (57931.03),30262.18 (35757.68),24554.59064832707,3.1132214981461076e-18,OLS difference test (route-clustered SE),34282.68384304102,36483.375140538934,54816.775077654,57931.02798275128,30262.184429326928,35757.68283696149,130761,5473,34398,6226,495,3495
Panel B: Route Covariates,Average Origin & Destination Population,4268637.30 (2880218.82),3742345.54 (2285099.37),4256465.55 (3006627.81),-514120.00897965394,1.4288423810146685e-5,OLS difference test (route-clustered SE),4268637.303717957,2880218.8181864084,3742345.544308422,2285099.3723875913,4256465.553288076,3006627.8147886493,130761,5473,34398,6226,495,3495
Panel B: Route Covariates,Small Endpoint Population,1691345.58 (1586697.69),2179604.07 (1392834.30),1593637.61 (1660392.09),585966.4523323395,5.512921506479983e-16,OLS difference test (route-clustered SE),1691345.5786663585,1586697.6943000453,2179604.0655947416,1392834.3015779338,1593637.6132624021,1660392.0882483292,130761,5473,34398,6226,495,3495
Panel B: Route Covariates,Large Endpoint Population,6845929.03 (5024638.80),5305087.02 (3775313.31),6919293.49 (5236226.45),-1614206.470291406,2.5229862608053155e-16,OLS difference test (route-clustered SE),6845929.028769682,5024638.797745343,5305087.023022117,3775313.3108977536,6919293.493313523,5236226.453606407,130761,5473,34398,6226,495,3495
Panel B: Route Covariates,Average Origin & Destination Per Capita Income,51576.38 (8640.34),44834.18 (4809.25),46273.21 (6627.25),-1439.029554897992,7.784233134829097e-9,OLS difference test (route-clustered SE),51576.376288152795,8640.339518551618,44834.179967016345,4809.246850113844,46273.20952191434,6627.251198456949,130761,5473,34398,6226,495,3495
Panel B: Route Covariates,Small Endpoint Per Capita Income,46107.67 (6728.02),40687.17 (4131.91),41564.23 (5474.30),-877.0538816320695,3.876837120920012e-5,OLS difference test (route-clustered SE),46107.67274147379,6728.015630028447,40687.174128330495,4131.908600505618,41564.228009962564,5474.297682986397,130761,5473,34398,6226,495,3495
Panel B: Route Covariates,Large Endpoint Per Capita Income,57045.08 (12952.72),48981.19 (7092.79),50982.19 (10011.23),-2001.0052281639073,8.028530001371713e-8,OLS difference test (route-clustered SE),57045.079834831966,12952.721507845483,48981.185805702204,7092.791461891102,50982.19103386611,10011.227634761506,130761,5473,34398,6226,495,3495
