event_time,coef,ll,ul,coef_plot,ll_plot,ul_plot
-6,1.582865813028168,-.27647251,3.4422042,1.582865813028168,-.2764725089073181,3.442204236984253
-5,-.3793205817136425,-2.6949365,1.9362953,-.3793205817136425,-2.694936513900757,1.9362952709198
-4,.431357098120709,-1.4441568,2.3068709,.431357098120709,-1.444156765937805,2.306870937347412
-3,-.6012311599530773,-3.1869452,1.9844829,-.6012311599530773,-3.186945199966431,1.984482884407043
-2,.7043051075001118,-1.6763245,3.0849347,.7043051075001118,-1.676324486732483,3.084934711456299
-1,0,0,0,0,0,0
-1,-.5241835116708832,-2.6066921,1.5583251,-.5241835116708832,-2.60669207572937,1.558325052261353
0,.1338314807846594,-2.0343785,2.3020415,.1338314807846594,-2.034378528594971,2.302041530609131
1,1.003687237609649,-1.1020758,3.1094503,1.003687237609649,-1.102075815200806,3.109450340270996
2,.4560478899502916,-1.6232271,2.5353229,.4560478899502916,-1.623227119445801,2.535322904586792
3,.1736690718144547,-2.0187755,2.3661137,.1736690718144547,-2.018775463104248,2.366113662719727
4,1.001568720900338,-1.6964802,3.6996176,1.001568720900338,-1.69648015499115,3.699617624282837
5,1.734239096498633,-1.2095616,4.67804,1.734239096498633,-1.209561586380005,4.678040027618408
6,-.0935033166462654,-2.6213424,2.4343359,-.0935033166462654,-2.621342420578003,2.434335947036743
7,.7335896281153497,-2.1722183,3.6393976,.7335896281153497,-2.172218322753906,3.639397621154785
8,.3319355624004119,-2.0313458,2.6952171,.3319355624004119,-2.031345844268799,2.695217132568359
