event_time,coef,se,ll,ul,coef_plot,ll_plot,ul_plot
-6,-.0057981455378344,.00398495,-.01736597,.0057696789,-.0057981455378344,-.0173659697175026,.0057696788571775
-5,-.0088157080369091,.0053387214,-.024313366,.0066819498,-.0088157080369091,-.0243133660405874,.0066819498315454
-4,.0068310009111018,.0046326304,-.0066169603,.020278962,.0068310009111018,-.0066169602796435,.02027896232903
-3,-.0028534089635539,.0041434714,-.014881401,.0091745835,-.0028534089635539,-.014881401322782,.0091745834797621
-2,.0031054892278811,.0043639028,-.0095623881,.015773367,.0031054892278811,-.0095623880624771,.0157733671367168
-1,.0034117282623444,.0041226079,-.0085556991,.015379156,.0034117282623444,-.0085556991398335,.015379155986011
-1,0,0,0,0,0,0,0
0,.0025689755244576,.0042523933,-.0097752037,.014913155,.0025689755244576,-.0097752036526799,.0149131547659636
1,-.0009273075892432,.004265185,-.013308619,.011454004,-.0009273075892432,-.0133086191490293,.0114540038630366
2,-.0001009677899379,.004510826,-.013195345,.012993409,-.0001009677899379,-.0131953451782465,.0129934092983603
3,-.0006567740487221,.0045570675,-.013885385,.012571838,-.0006567740487221,-.0138853853568435,.0125718377530575
4,-.0067923293747013,.004612335,-.020181376,.0065967175,-.0067923293747013,-.0201813764870167,.006596717517823
5,.0018397967493286,.0054486925,-.013977094,.017656686,.0018397967493286,-.0139770936220884,.0176566857844591
6,.0047923291543611,.0057411785,-.011873613,.021458272,.0047923291543611,-.0118736131116748,.0214582718908787
7,-.0049556159079251,.0058081509,-.021815969,.011904738,-.0049556159079251,-.0218159686774015,.0119047379121184
8,-.0015387683958528,.0073147253,-.022772525,.019694988,-.0015387683958528,-.0227725245058537,.0196949876844883
