event_time,coef,se,ll,ul,coef_plot,ll_plot,ul_plot
-6,-.0042158539133756,.0052473578,-.019312682,.010880973,-.4215853913375608,-1.931268163025379,1.08809731900692
-5,.0091628007917339,.005931831,-.0079032788,.026228881,.9162800791733885,-.7903278805315495,2.622888050973415
-4,.0150240212697482,.0060058739,-.0022550824,.032303125,1.502402126974822,-.2255082363262773,3.230312466621399
-3,-.0041633634224528,.0060643619,-.021610739,.013284013,-.4163363422452823,-2.161073870956898,1.328401267528534
-2,-.0116332717971479,.006479139,-.030273976,.0070074317,-1.163327179714793,-3.027397580444813,.7007431704550982
-1,-.0053147616214634,.0075265458,-.026968891,.016339367,-.5314761621463385,-2.696889080107212,1.63393672555685
-1,0,0,0,0,0,0,0
0,-.02363277722367,.0072609964,-.044522911,-.0027426439,-2.363277722367,-4.452291131019592,-.2742643933743238
1,-.0611863175242224,.010907944,-.092568845,-.029803792,-6.118631752422241,-9.256884455680847,-2.980379201471806
2,-.0603281863905149,.0093622953,-.08726383,-.033392545,-6.032818639051488,-8.726383000612259,-3.339254483580589
3,-.0703854404479399,.0097141564,-.098333403,-.042437483,-7.038544044793992,-9.833340346813202,-4.243748262524605
4,-.058333187698526,.010657039,-.088993855,-.027672524,-5.833318769852602,-8.89938548207283,-2.767252363264561
5,-.0612915156321214,.013351496,-.099704221,-.022878807,-6.129151563212137,-9.970422089099884,-2.287880703806877
6,-.0634955258547122,.011809425,-.097471647,-.029519407,-6.349552585471217,-9.747164696455002,-2.951940707862377
7,-.0729507599483748,.013291073,-.11118963,-.03471189,-7.29507599483748,-11.11896261572838,-3.471188992261887
8,-.0608953388233132,.01208802,-.095672987,-.026117694,-6.089533882331316,-9.567298740148544,-2.611769363284111
