event_time,coef,se,ll,ul,coef_plot,ll_plot,ul_plot
-6,-.0206213750778189,.014394359,-.062466234,.021223484,-2.062137507781888,-6.246623396873474,2.122348360717297
-5,-.0251311892616192,.017046295,-.074685313,.024422932,-2.513118926161921,-7.468531280755997,2.442293241620064
-4,.0377216073145122,.016239224,-.0094863325,.084929548,3.772160731451217,-.9486332535743713,8.492954820394516
-3,.0162209791366766,.016776221,-.032548029,.064989984,1.622097913667658,-3.254802897572517,6.498998403549194
-2,-.0187202063046161,.012977572,-.056446422,.019006008,-1.872020630461615,-5.644642189145088,1.900600828230381
-1,0,0,0,0,0,0,0
-1,-.0149822109291945,.018513057,-.068800256,.038835835,-1.498221092919453,-6.880025565624237,3.883583471179008
0,.0525549270896336,.015066721,.0087554902,.096354365,5.255492708963355,.8755490183830261,9.635436534881592
1,.0502766303894259,.020960705,-.010656809,.11121007,5.027663038942588,-1.065680850297213,11.12100705504417
2,.0781882579195805,.021644076,.01526824,.14110827,7.818825791958051,1.52682401239872,14.11082744598389
3,.0598376682372769,.026952511,-.018514138,.13818948,5.983766823727691,-1.851413771510124,13.81894797086716
4,.0769334291916223,.023914421,.0074134455,.14645341,7.693342919162233,.7413445506244898,14.64534103870392
5,.0742659675923879,.025650827,-.00030180434,.14883374,7.426596759238792,-.0301804335322231,14.88337367773056
6,.0836229314025488,.026721211,.0059435172,.16130234,8.362293140254877,.5943517200648785,16.13023430109024
7,.1247255101576797,.028715549,.041248493,.20820253,12.47255101576797,4.124849289655685,20.820252597332
8,.1494086335473716,.028750416,.065830261,.232987,14.94086335473716,6.583026051521301,23.29870015382767
