event_time,coef,se,ll,ul,coef_plot,ll_plot,ul_plot
-6,-.0165631549822255,.014059657,-.056553416,.023427105,-1.65631549822255,-5.655341595411301,2.342710457742214
-5,-.0203111121830609,.016056266,-.065980382,.025358155,-2.031111218306092,-6.598038226366043,2.535815536975861
-4,.0314958897083695,.017030541,-.016944537,.079936318,3.14958897083695,-1.694453693926334,7.993631809949875
-3,.0206116482650472,.016780766,-.027118335,.068341628,2.061164826504719,-2.711833454668522,6.834162771701813
-2,-.0209442498727454,.013828669,-.060277503,.018389003,-2.094424987274544,-6.027750298380852,1.838900335133076
-1,-.0149663356502508,.018601097,-.067873932,.037941266,-1.496633565025084,-6.787393242120743,3.794126585125923
-1,0,0,0,0,0,0,0
0,.0509236220273428,.01523977,.0075767348,.094270512,5.092362202734277,.7576734758913517,9.427051246166229
1,.0504922301191567,.020619769,-.0081571341,.1091416,5.049223011915674,-.8157134056091309,10.91415956616402
2,.0739221768811346,.021134371,.013809119,.13403523,7.39221768811346,1.380911935120821,13.40352296829224
3,.0469029919785311,.025692882,-.026175963,.11998194,4.690299197853108,-2.61759627610445,11.99819445610046
4,.0649097444517352,.023371635,-.0015668259,.13138631,6.490974445173518,-.1566825900226831,13.13863098621368
5,.0545071151390435,.024721,-.015807489,.12482172,5.450711513904347,-1.58074889332056,12.48217225074768
6,.0601953271205537,.026431337,-.014984035,.1353747,6.019532712055368,-1.498403493314981,13.53746950626373
7,.1087170180185706,.027799489,.029646184,.18778785,10.87170180185706,2.964618429541588,18.77878457307816
8,.1395497300217017,.026929449,.062953576,.21614589,13.95497300217017,6.295357644557953,21.61458879709244
